,Product,Portion,Category,Kkal,Protein,Fat,Carbs
0,Борщ,300,Первое блюдо,57.7,3.8,2.9,4.3
1,Говяжий суп,300,Первое блюдо,28.8,2.3,1.1,2.6
2,Голландский зеленый суп,300,Первое блюдо,65.3,4.8,1.4,8.8
3,Гороховый суп,300,Первое блюдо,54.3,2.2,3.0,5.0
4,Грибной борщ,300,Первое блюдо,27.1,0.7,2.1,1.4
5,Грибной суп,300,Первое блюдо,50.9,0.8,3.4,4.6
6,Куриный суп с макаронами,300,Первое блюдо,59.7,4.5,3.3,3.1
7,Лэпсытепх (бульон с жареными орешками из муки и зажаркой - адыгейское национальное блюдо),300,Первое блюдо,167.1,11.4,10.3,7.6
8,Молочный суп с морковью,300,Первое блюдо,33.6,1.6,1.5,3.7
9,Окрошка овощная по 1-192,300,Первое блюдо,39.0,0.9,0.8,6.8
10,Похлебка грибная (карельское национальное блюдо),300,Первое блюдо,81.6,3.1,4.1,8.5
11,Похлебка из сардин в горшочке,300,Первое блюдо,115.8,6.4,6.9,7.5
12,Рассольник,300,Первое блюдо,40.4,0.9,1.6,5.9
13,"Солянка сборная мясная, по 1-168",300,Первое блюдо,39.0,2.1,2.8,1.3
14,"Суп ""Ереванский""",300,Первое блюдо,54.1,3.1,1.9,6.5
15,"Суп ""Хинкал"" (суп с мясом и ракушками - дагестанское национальное блюдо)",300,Первое блюдо,125.1,10.2,6.1,7.8
16,Суп вишневый с клецками,300,Первое блюдо,79.3,2.0,1.1,16.4
17,Суп гороховый с яблоками,300,Первое блюдо,44.0,2.5,2.3,3.6
18,Суп из говядины,300,Первое блюдо,41.9,2.4,2.5,2.6
19,Суп из клюквы и яблок,300,Первое блюдо,51.0,0.4,1.9,8.7
20,Суп из моркови и кефира,300,Первое блюдо,58.0,2.3,2.1,8.0
21,Суп из овощей,300,Первое блюдо,36.7,1.7,1.6,4.2
22,Суп из утки,300,Первое блюдо,283.0,10.9,23.0,8.6
23,Суп из фасоли с орехами,300,Первое блюдо,67.0,2.3,4.8,3.8
24,Суп из цветной капусты,300,Первое блюдо,36.8,1.0,3.2,1.1
25,Суп из чечевицы,300,Первое блюдо,67.8,2.5,4.2,5.2
26,Суп картофельный,300,Первое блюдо,50.6,1.3,1.1,9.4
27,Щи боярские,300,Первое блюдо,48.3,3.5,2.6,2.9
28,Анчоусы и кильки с картофелем,300,Морепродукт,156.5,12.3,7.9,9.7
29,Баклажаны панированные,300,Гарнир,236.0,2.9,23.1,4.4
30,"Баранина рубленая, запеченная в омлете (чувашское национальное блюдо)",300,Мясо,246.2,14.0,20.1,2.5
31,Баранина с рисом и изюмом (еврейское национальное блюдо),300,Мясо,265.5,12.4,18.0,14.4
32,Беляш,300,Мясо,139.2,8.8,6.2,12.8
33,Бефстроганов,300,Мясо,355.5,21.9,27.4,5.7
34,"Биточки или котлеты манные, рисовые",300,Мясо,162.4,4.0,7.8,20.4
35,Бифштекс,300,Мясо,384.2,27.8,29.6,1.7
36,Бобовые с копченой грудинкой или корейкой,300,Мясо,381.5,23.0,14.9,41.4
37,Волованы,300,Гарнир,435.0,7.9,29.9,35.9
38,Говядина в кисло-сладком соусе,300,Мясо,355.0,26.1,22.0,13.9
39,Говядина в луковом соусе запеченная,300,Мясо,178.5,12.2,11.4,7.3
40,"Говядина, запеченная с макаронами",300,Мясо,359.5,18.4,22.2,22.9
41,Голубцы овощные,300,Мясо,190.9,3.4,16.7,7.3
42,Горбуша в сливках,300,Рыба,129.5,8.8,9.5,2.4
43,Горячий паштет из печени,300,Гарнир,119.4,10.2,5.6,7.5
44,Грибная запеканка,300,Гарнир,145.2,4.7,10.1,9.5
45,Грибы в сметанном соусе,300,Гарнир,230.5,4.8,21.8,3.9
46,Грибы жареные,300,Гарнир,162.1,4.6,11.5,10.7
47,Грибы по-деревенски,300,Гарнир,51.1,1.2,3.7,3.5
48,Грибы по-селянски,300,Гарнир,180.0,1.6,18.4,2.1
49,Грибы с квашеной капустой,300,Гарнир,138.9,2.8,10.9,8.0
50,Гуляш,300,Мясо,326.0,24.9,22.0,7.7
51,Драники,300,Гарнир,69.3,3.0,0.9,13.0
52,Жаренный картофель с колбасой,300,Гарнир,83.9,2.8,5.4,6.5
53,Жаркое из кролика (зайчатины),300,Мясо,182.1,13.5,12.9,3.2
54,Жаркое из курицы по-русски,300,Мясо,368.8,15.4,30.1,9.6
55,Жаркое из свинины,300,Мясо,233.1,10.6,20.9,0.7
56,Жаркое из субпродуктов по-ингушски,300,Мясо,121.3,16.0,3.3,7.3
57,Жаркое из фаршированной свинины,300,Мясо,102.0,3.3,6.7,7.6
58,Жаркое из цыплят и субпродуктов кур,300,Мясо,281.0,14.6,21.7,7.2
59,Жаркое по-гусарски,300,Мясо,153.6,13.4,9.8,3.1
60,Жаркое по-домашнему,300,Мясо,248.0,16.2,13.8,15.7
61,Жаркое с грибами по-русски,300,Мясо,205.4,11.2,13.8,9.8
62,Запеканка из спаржи и риса,300,Гарнир,137.5,2.7,9.2,11.7
63,Запеканка из тыквы,300,Гарнир,227.8,4.4,12.9,25.0
64,Запеканка из цветной капусты с сыром,300,Гарнир,160.8,6.4,12.3,6.6
65,Запеканка овощная,300,Гарнир,90.0,3.0,6.7,4.8
66,Запеканка рисовая с творогом,300,Гарнир,200.2,4.5,8.8,27.4
67,"Запеканка рисовая, манная, пшенная, пшеничная",300,Гарнир,147.8,3.3,6.3,20.8
68,Запеканка со свежими плодами,300,Гарнир,157.8,3.0,2.6,32.6
69,"Кабачки и цветная капуста, запеченные под соусом",300,Гарнир,179.8,2.8,16.0,6.6
70,Кабачки с помидорами,300,Гарнир,104.4,1.3,8.1,7.1
71,Кабачки улыбаются,300,Гарнир,57.5,1.4,2.9,6.9
72,Калаатикко (из картофеля),300,Гарнир,119.4,4.0,8.4,7.5
73,Калитки картофельные,300,Гарнир,157.1,3.4,8.1,18.9
74,Кальмары жареные,300,Морепродукт,174.6,9.9,14.4,1.4
75,Капуста отварная с маслом или соусом,300,Гарнир,92.0,1.7,7.8,4.1
76,Капуста по-охотничьи,300,Гарнир,65.8,2.3,2.4,9.5
77,Капуста со сметаной в горшочке,300,Гарнир,119.4,1.6,11.3,2.9
78,Капуста тушеная,300,Гарнир,102.2,2.7,5.9,10.2
79,Капуста тушеная,300,Гарнир,99.3,2.6,5.8,9.8
80,Капуста тушеная с грибами,300,Гарнир,132.1,8.1,7.8,7.9
81,"Капуста, тушенная с лимонным соком",300,Гарнир,79.6,1.1,5.2,7.6
82,Карп по-австрийски,300,Рыба,150.1,11.7,10.9,1.4
83,Картофельные оладьи с сыром,300,Гарнир,178.0,5.4,11.6,13.8
84,Картофельные оладьи со свежей капустой,300,Гарнир,185.2,3.7,13.5,13.0
85,Картофельный хворост,300,Гарнир,227.9,5.3,11.5,27.5
86,Кезан-кебаб,300,Мясо,128.2,5.5,8.5,8.0
87,Кильки с картофельным салатом и яйцом,300,Рыба,114.6,6.9,6.1,8.6
88,Киприана,300,Мясо,294.2,15.6,24.9,2.1
89,Кисло-сладкая капуста,300,Гарнир,75.7,1.5,5.3,6.0
90,Кольраби с томатным соусом,300,Гарнир,80.6,4.9,4.6,5.3
91,"Кольраби, тушенная с морковью",300,Гарнир,65.6,3.5,4.1,3.9
92,Корнетики с муссом ветчины,300,Мясо,287.0,18.5,23.3,0.9
93,Котлеты,300,Мясо,227.4,10.1,19.4,3.3
94,"Котлеты ""Централь""",300,Мясо,203.1,10.9,15.5,5.4
95,Котлеты гороховые,300,Мясо,236.0,13.3,10.4,23.7
96,Котлеты из брюквы,300,Мясо,99.3,3.1,5.6,9.6
97,Котлеты капустно-морковные,300,Мясо,198.0,4.5,14.1,14.2
98,Котлеты капустные,300,Мясо,191.0,4.9,13.8,12.7
99,Котлеты картофельные,300,Мясо,189.2,3.7,12.9,15.6
100,Котлеты морковные,300,Мясо,206.2,4.1,14.5,15.9
101,Котлеты мясо-картофельные по-хлыновски,300,Мясо,343.0,20.8,26.1,6.7
102,Крабы с яйцом,300,Морепродукт,251.2,16.7,19.9,1.3
103,Красная капуста,300,Гарнир,73.0,1.1,5.2,5.9
104,"Краснокочанная капуста, тушенная с яблоками",300,Гарнир,44.1,0.6,1.0,8.7
105,Креветки с соусом,300,Морепродукт,211.2,26.5,7.5,10.1
106,"Креветки, запеченные под сметанным или молочным соусом",300,Морепродукт,175.8,15.1,7.8,11.9
107,Крокеты картофельные,300,Гарнир,239.8,4.3,20.2,10.9
108,Кролик в маринаде,300,Мясо,194.5,15.7,11.5,7.6
109,Лук маринованный,300,Гарнир,82.2,1.4,5.0,8.5
110,Лук порей с грибами,300,Гарнир,58.3,2.4,3.6,4.3
111,Лук-порей со свининой,300,Гарнир,207.5,6.0,15.6,11.5
112,"Лук, жареный во фритюре",300,Гарнир,239.8,4.8,14.0,25.3
113,Луковый клопс,300,Гарнир,181.4,11.4,13.3,4.2
114,Люля-кебаб (азербайджанское национальное блюдо),300,Мясо,338.8,20.1,24.6,9.9
115,Макароны с яйцом,300,Гарнир,114.9,3.1,7.5,9.4
116,Манты с тыквой,300,Гарнир,247.8,3.0,18.0,19.7
117,Масса из рыбы горячего копчения,300,Рыба,340.0,22.3,27.8,0.3
118,Морепродукты под майонезом,300,Морепродукт,472.2,39.0,34.7,1.0
119,Морковь в формочках,300,Гарнир,74.4,2.1,5.3,4.8
120,Морковь глазированная,300,Гарнир,146.2,1.0,6.8,21.6
121,Морковь с зеленым горошком в молочном соусе,300,Гарнир,184.8,7.4,8.9,19.9
122,Морковь тушеная,300,Гарнир,108.0,0.9,8.9,6.4
123,Морковь тушеная с рисом и черносливом,300,Гарнир,174.6,2.6,7.1,26.6
124,"Морковь, тушенная в сметанном соусе",300,Гарнир,152.4,2.4,11.3,10.9
125,"Морковь, тушенная с репчатым луком",300,Гарнир,57.6,1.9,2.5,7.4
126,"Морковь, тушенная с рисом",300,Гарнир,130.8,1.7,8.1,13.7
127,"Морковь, тушенная с черносливом или яблоками",300,Гарнир,146.6,2.2,5.1,24.7
128,Морской гребешок или креветки заливные,300,Морепродукт,222.0,23.6,13.7,1.2
129,Морской гребешок отварной с соусом,300,Морепродукт,159.0,16.9,6.2,9.4
130,"Мясо ""Пальчики оближешь""",300,Мясо,269.5,9.8,24.7,2.1
131,Мясо в горшочке,300,Мясо,57.9,1.9,3.8,4.3
132,Мясо в шубе,300,Мясо,273.5,11.8,24.6,1.4
133,Мясо отварное,300,Мясо,307.2,34.1,18.6,0.9
134,Мясо по-корейски,300,Мясо,173.5,3.1,15.7,5.4
135,Мясо по-французски,300,Мясо,264.5,10.0,23.0,4.6
136,Мясо с курагой,300,Мясо,181.6,10.1,10.6,12.3
137,Мясо с овощами по-индонезийски,300,Мясо,174.8,5.1,11.0,14.7
138,Мясо тушеное,300,Мясо,252.2,17.3,9.0,27.3
139,Мясо шпигованное,300,Мясо,174.0,17.6,9.2,5.6
140,"Мясо, жаренное крупным куском",300,Мясо,399.2,35.0,28.8,0.0
141,"Мясо, жаренное крупным куском, шпигованное",300,Мясо,391.5,32.6,29.0,0.0
142,"Мясо, тушенное с луком в горшочке",300,Мясо,293.2,15.9,9.7,37.9
143,Овощи в молочном соусе (1-й вариант),300,Гарнир,120.8,5.6,3.7,17.5
144,Овощи отварные с жиром,300,Гарнир,90.5,1.9,6.0,7.5
145,"Овощи, припущенные в молочном или сметанном соусе",300,Гарнир,232.1,4.7,17.9,13.8
146,"Овощи, припущенные с жиром",300,Гарнир,109.2,2.1,6.0,12.4
147,Овощное рагу с шампиньонами,300,Гарнир,73.2,1.1,6.0,3.9
148,Оладьи из капусты с сыром,300,Гарнир,213.2,5.6,19.3,4.6
149,Оладьи из печени,300,Гарнир,229.1,20.2,14.2,5.4
150,Омлет из взбитых сливок,300,Гарнир,256.8,6.4,14.8,26.2
151,Омлет натуральный,300,Гарнир,221.9,12.2,18.4,1.9
152,"Яйца, фаршированные креветками",300,Гарнир,226.6,19.1,15.9,1.8
153,Бобовые в соусе,350,Гарнир,347.8,26.2,7.0,48.0
154,Бобовые отварные,350,Гарнир,391.5,30.4,7.2,54.7
155,Бобовые отварные,350,Гарнир,276.8,24.2,1.8,43.6
156,Гарнир из овощей 1,350,Гарнир,167.1,8.4,7.7,17.0
157,Гарнир из овощей 2,350,Гарнир,18.8,1.0,0.2,3.6
158,Гарнир из овощей 3,350,Гарнир,65.2,1.5,3.4,7.6
159,Гарнир из овощей 4,350,Гарнир,180.5,4.3,12.9,12.7
